Date,Open,High,Low,Close,Adj Close,Volume
2018-06-14,15.595000,15.915000,15.552500,15.842500,15.637007,45226400
2018-06-15,15.660000,15.772500,15.450000,15.685000,15.481549,38844800
2018-06-18,15.375000,15.687500,15.230000,15.650000,15.447002,34363200
2018-06-19,15.047500,15.515000,14.905000,15.510000,15.308820,53816800
2018-06-20,15.715000,16.032499,15.682500,15.835000,15.629603,39822400
2018-06-21,15.945000,15.997500,15.332500,15.425000,15.224922,51140400
2018-06-22,15.580000,15.595000,15.152500,15.270000,15.071932,31113600
2018-06-25,14.905000,14.967500,13.872500,14.295000,14.109579,85653200
2018-06-26,14.432500,14.695000,14.275000,14.452500,14.265037,47082800
2018-06-27,14.635000,14.830000,13.830000,13.872500,13.692559,65919200
2018-06-28,13.805000,14.352500,13.717500,14.212500,14.028150,55650000
2018-06-29,14.417500,14.640000,14.265000,14.277500,14.092305,39268000
2018-07-02,13.915000,14.615000,13.820000,14.597500,14.408155,41648400
2018-07-03,14.755000,14.770000,14.057500,14.095000,13.912174,28212800
2018-07-05,14.372500,14.647500,14.147500,14.612500,14.422961,32811200
2018-07-06,14.702500,15.322500,14.630000,15.270000,15.071932,37506000
2018-07-09,15.520000,15.712500,15.347500,15.695000,15.491419,36188800
2018-07-10,15.762500,15.837500,15.570000,15.732500,15.528433,33392000
2018-07-11,15.375000,15.665000,15.322500,15.502500,15.301416,39914800
2018-07-12,15.692500,16.280001,15.660000,16.267500,16.056492,40676000
2018-07-13,16.270000,16.407499,16.147499,16.315001,16.103380,33938000
2018-07-16,16.327499,16.415001,16.120001,16.205000,15.994806,27780000
2018-07-17,15.700000,16.600000,15.695000,16.504999,16.290911,37796800
2018-07-18,16.500000,16.547501,16.250000,16.400000,16.187277,23268800
2018-07-19,16.240000,16.389999,16.094999,16.157499,15.947919,38437200
2018-07-20,16.290001,16.457500,16.082500,16.135000,15.925714,28698000
2018-07-23,15.992500,16.307501,15.800000,16.275000,16.063894,31513600
2018-07-24,16.787500,16.962500,16.287500,16.482500,16.268705,47533200
2018-07-25,16.504999,17.202499,16.492500,17.170000,16.947287,38620800
2018-07-26,16.480000,16.635000,16.327499,16.420000,16.207016,55944000
2018-07-27,16.709999,16.725000,15.445000,15.735000,15.530900,59049200
2018-07-30,15.737500,15.752500,14.830000,15.057500,14.862187,50402800
2018-07-31,15.217500,15.572500,14.977500,15.357500,15.158298,47856000
2018-08-01,15.500000,15.707500,15.310000,15.567500,15.365573,34650800
2018-08-02,15.225000,16.250000,15.210000,16.187500,15.977530,46121200
2018-08-03,16.272499,16.347500,16.075001,16.332500,16.120653,36066800
2018-08-06,16.312500,16.642500,16.247499,16.632500,16.416759,34034000
2018-08-07,16.762501,16.900000,16.662500,16.795000,16.577150,35985200
2018-08-08,16.740000,16.962500,16.600000,16.840000,16.621567,31717200
2018-08-09,16.825001,17.025000,16.754999,16.825001,16.606762,27265200
2018-08-10,16.490000,16.637501,16.254999,16.432501,16.219357,42813200
2018-08-13,16.522499,16.842501,16.362499,16.385000,16.172470,46337200
2018-08-14,16.565001,16.747499,16.307501,16.687500,16.471048,30363600
2018-08-15,16.309999,16.450001,15.770000,16.080000,15.871426,57928800
2018-08-16,16.434999,16.537500,16.132500,16.227501,16.017014,32571200
2018-08-17,16.097500,16.355000,15.802500,16.225000,16.014545,35131200
