Date,Open,High,Low,Close,Adj Close,Volume
2022-06-13,24.270000,24.980000,22.820000,23.080000,22.827751,213365700
2022-06-14,23.639999,23.870001,22.520000,23.230000,22.976110,196600500
2022-06-15,24.059999,25.920000,23.340000,24.900000,24.627859,274911500
2022-06-16,22.990000,23.120001,21.320000,21.860001,21.621086,212142200
2022-06-17,22.070000,23.280001,21.650000,22.670000,22.422232,220590500
2022-06-21,23.820000,24.980000,23.780001,24.379999,24.113543,159204100
2022-06-22,23.709999,25.450001,23.549999,24.290001,24.024527,194486800
2022-06-23,24.940001,25.570000,24.170000,25.330000,25.053160,182686400
2022-06-24,26.110001,28.040001,26.049999,27.980000,27.674196,151817500
2022-06-27,28.350000,28.500000,27.000000,27.320000,27.021410,169131000
2022-06-28,27.459999,28.209999,24.760000,24.830000,24.558624,186870800
2022-06-29,24.780001,25.290001,24.100000,24.879999,24.608076,190091100
2022-06-30,24.059999,24.889999,22.750000,24.000000,23.737696,256203900
2022-07-01,23.600000,24.500000,23.100000,24.389999,24.123434,208600400
2022-07-05,23.410000,25.680000,23.000000,25.650000,25.369663,220554000
2022-07-06,25.770000,26.719999,25.280001,26.139999,25.854305,206122900
2022-07-07,26.379999,28.000000,26.370001,27.760000,27.456602,137866300
2022-07-08,26.990000,28.309999,26.709999,27.889999,27.585180,159729200
2022-07-11,27.200001,27.270000,25.860001,26.110001,25.824636,129224100
2022-07-12,26.440001,26.980000,24.910000,25.350000,25.072941,159616500
2022-07-13,23.840000,25.830000,23.690001,25.190001,24.914690,180575500
2022-07-14,24.469999,25.680000,23.620001,25.450001,25.171848,175823500
2022-07-15,26.270000,26.850000,25.809999,26.790001,26.497204,154380200
2022-07-18,27.610001,28.000000,25.820000,26.170000,25.883980,159950200
2022-07-19,27.150000,28.620001,26.690001,28.459999,28.148951,149321700
2022-07-20,28.660000,30.250000,28.440001,29.889999,29.563322,188563100
2022-07-21,30.010000,31.180000,29.219999,31.160000,30.819441,159690900
2022-07-22,30.879999,31.530001,28.950001,29.530001,29.207256,149400400
2022-07-25,29.530001,29.670000,28.410000,29.090000,28.772066,110448800
2022-07-26,28.490000,28.570000,27.049999,27.330000,27.031301,115877800
2022-07-27,28.600000,31.250000,28.430000,30.740000,30.404032,170959500
2022-07-28,30.680000,31.820000,29.520000,31.620001,31.274416,162035900
2022-07-29,32.130001,33.650002,31.670000,33.360001,32.995396,146073200
2022-08-01,32.779999,34.419998,32.439999,33.310001,32.945946,142641500
2022-08-02,32.540001,34.349998,32.209999,33.000000,32.639332,162687500
2022-08-03,33.549999,35.950001,33.310001,35.639999,35.250477,147106900
2022-08-04,35.689999,36.270000,34.959999,36.150002,35.754906,126783600
2022-08-05,34.430000,35.980000,34.150002,35.290001,34.904305,141949300
2022-08-08,35.599998,36.830002,34.439999,34.930000,34.548237,133893900
2022-08-09,34.279999,34.369999,33.189999,33.730000,33.361351,109203000
2022-08-10,36.139999,36.639999,35.310001,36.500000,36.101078,135777200
2022-08-11,37.330002,38.020000,35.669998,35.950001,35.557091,136680500
2022-08-12,36.599998,38.049999,36.240002,37.980000,37.564903,105593500
2022-08-15,37.650002,39.080002,37.639999,38.889999,38.464958,98154200
2022-08-16,38.560001,39.380001,37.529999,38.639999,38.217690,110377900
2022-08-17,37.509998,38.330002,36.549999,37.299999,36.892334,131419200
2022-08-18,37.259998,37.959999,36.689999,37.549999,37.139603,96070400
2022-08-19,36.480000,36.700001,35.070000,35.349998,34.963646,112128300
2022-08-22,33.889999,33.970001,32.259998,32.570000,32.214027,112487700
2022-08-23,32.430000,33.349998,32.200001,32.459999,32.105232,109754900
2022-08-24,32.299999,33.299999,32.099998,32.709999,32.352501,93502800
2022-08-25,33.279999,34.439999,32.939999,34.430000,34.053703,111026300
2022-08-26,34.349998,34.740002,30.200001,30.240000,29.909496,183138300
2022-08-29,29.350000,30.120001,28.959999,29.309999,28.989660,124220500
2022-08-30,29.790001,29.950001,27.559999,28.330000,28.020372,163507400
2022-08-31,29.160000,29.400000,27.770000,27.809999,27.506056,170515300
2022-09-01,27.080000,27.930000,26.020000,27.840000,27.535727,198660200
2022-09-02,28.639999,29.040001,26.170000,26.680000,26.388407,227231500
2022-09-06,26.760000,27.020000,25.459999,26.070000,25.785072,180541700
